business_name,category,emirate,city,address,phone,email,website_url,source_url,source_name,last_verified_at
"Absolute Central Air Conditioners","Air Conditioning Engineers Installation And Maintenance Marine Refrigeration and AC Services Cold Rooms Manufacturer And Suppliers","Abu Dhabi","Abu Dhabi","21, 13th Floor, Mashraq Bank Building, Madinat Zayed, Electra","+97124447724","","https://www.absolutecacm.com","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Cool Technologies","Air Conditioning Engineers Installation And Maintenance Walk In Chillers And Freezers Electronic Equipment and Appliances","Abu Dhabi","Abu Dhabi","Office 1, Plot 99, Al Nahyan Building, M 42, Musaffah","+97128156111","","https://cooltechuae.com","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Aeon General Contracting Sole Proprietorship LLC","Air Conditioning Engineers Installation And Maintenance Landscaping Building Maintenance","Abu Dhabi","Abu Dhabi","Behind RedStar, M45, Musaffah","+971569803706","","https://aeongcc.com","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Circuit Plus Electromechanical Contracting LLC","Air Conditioning Engineers Installation And Maintenance Plumbing and Electrical Contractors Annual Maintenance Contractors","Abu Dhabi","Abu Dhabi","Office No. 1104, ADCP Tower-D, Behind City Seasons Hotel, Electra Street, Al Danah, Zone 1","+97126799373","","https://circuitplusemc.com","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"EMCC Company LLC","Air Conditioning Engineers Installation And Maintenance Building Maintenance Fire Alarm Maintenance","Abu Dhabi","Abu Dhabi","1504, HE Sh Sultan Bin Suroor Al Dhaheri Office Tower, Salam S","+97126767225","","https://www.emccllc.ae","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Imperial Power Electromechanical Works LLC","Air Conditioning Engineers Installation And Maintenance Chiller Services Maintenance and Repairing Chiller Maintenance","Dubai","Dubai","Office 2, Al Bakhti Warehouse, Behind Enoc Petrol Pump, Al Khabaisi, Deira","+97148525018","","https://ipoweruae.com","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"RSK Technical Services LLC","Air Conditioning Engineers Installation And Maintenance Kitchen Equipment Maintenance Kitchen Maintenance Commercial","Dubai","Dubai","Sony Building, Al Ras, Bur Dubai","+971562728162","","https://rsktechnical.com","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Top Line Electromechanical Engineering LLC","Air Conditioning Engineers Installation And Maintenance Air Conditioning Duct Accessories Manufacturers and Supplier HVAC Grillers and Diffusers","Ras Al Khaimah","Ras Al Khaimah","112, Granada Building 7, Al Hudaiba St, Near Indian Public School, Al Nakheel","+97172213806","","https://www.toplineeme.com","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Assala A/C Contracting LLC","Air Conditioning Engineers Installation And Maintenance Air Conditioning Contractors AC Installation","Ajman","Ajman","W/H 13, Amman St, New Industrial Area","+97167435340","","https://www.alassalaac.com","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Intercool Air Conditioning LLC","Air Conditioning Engineers Installation And Maintenance Air Conditioning Trading AC Maintenance","Dubai","Dubai","Ras Al Khor Indl Area","+97142899775","","https://intercoolair.com","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Snow Gulf Cooling System","Air Conditioning Engineers Installation And Maintenance Cold Rooms Manufacturer And Suppliers","Abu Dhabi","Abu Dhabi","M-34, Mussafah","+97125551163","","https://snowgulf.com","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Abdul Karim Abdulla A/C and Refg Services","Air Conditioning Engineers Installation And Maintenance","Sharjah","Sharjah","Near ADCB, J & P Rd, Indl Area 2","+97165431334","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Abu Fadil Air Conditioner Repair Workshop","Air Conditioning Engineers Installation And Maintenance","Abu Dhabi","Abu Dhabi","Mussafah M 16","+97125547259","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Airgrill Central Air Conditioning Accessories Systems Factory LLC","Air Conditioning Engineers Installation And Maintenance Air Conditioning Contractors","Sharjah","Sharjah","Near Bin Ladin Signal, Industrial Area 10","+97165345126","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Airvac Air Conditioning And Refrigeration Contracting LLC","Air Conditioning Engineers Installation And Maintenance AC Installation","Abu Dhabi","Abu Dhabi","101, Khalidiya","+971503232266","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Amal Alsarea","Air Conditioning Engineers Installation And Maintenance Landscaping","Dubai","Dubai","Al Sinyar Business Center, Al Sinyar St.","+971507574313","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Aqsa Airconditioning Services","Air Conditioning Engineers Installation And Maintenance","Dubai","Dubai","Al Qusais","+97142679226","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Arqoob Technical Services","Air Conditioning Engineers Installation And Maintenance","Ajman","Ajman","M1 Wathba","+971557699490","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Basil Central Air Conditioning Works","Air Conditioning Engineers Installation And Maintenance","Sharjah","Sharjah","Bhnd Caterpillar, Al Wasit Rd, Indl Area 3","+97165432541","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Buraq Al Abyadh AC Unit Fixing and Contracting","Air Conditioning Engineers Installation And Maintenance","Sharjah","Sharjah","Al Shreef Building, Third St, Industrial Area 12","+971561522825","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Eslah A/C Rep Works","Air Conditioning Engineers Installation And Maintenance","Sharjah","Sharjah","Industrial Area No 2, Opposite JCV Showroom, Near Paramount Co.","+97165433282","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Faiez AC Units Fix Cont LLC","Air Conditioning Engineers Installation And Maintenance AC Installation","Sharjah","Sharjah","Near Fine Fair, Al Butina","+971504287593","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Fan Al Asri AC Units Fix Cont","Air Conditioning Engineers Installation And Maintenance","Dubai","Dubai","","+97144585385","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Fandi Engineering Works","Air Conditioning Engineers Installation And Maintenance","Abu Dhabi","Abu Dhabi","Near Blood Bank, TCA","+97126444146","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Faniah Air Conditioning System Cont LLC","Air Conditioning Engineers Installation And Maintenance","Ajman","Ajman","Office 2009, Falcon Tower B1, Rashidiya","+97167483667","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Habara Electro Mechanical Contracting","Air Conditioning Engineers Installation And Maintenance HVAC and AMC Contract","Ras Al Khaimah","Ras Al Khaimah","Al Nakheel","+97172234934","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Hamriya A/C Repairing","Air Conditioning Engineers Installation And Maintenance","Ajman","Ajman","Near Emirates Gas, New Indl Area","+97167439314","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Imran A/C Spare Parts","Air Conditioning Engineers Installation And Maintenance","Dubai","Dubai","Unit No 09, Adnan Khalifa Building, Deira","+97142730844","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Inayah Electro-mechanical Works LLC","Air Conditioning Engineers Installation And Maintenance Air Conditioning Contractors","Abu Dhabi","Abu Dhabi","105-106, 1st Flr, Old JVC Bldg, Opp Etisalat, Airport Rd","+97126337921","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Itqan Airconditioning Spare Parts Trdg LLC","Air Conditioning Engineers Installation And Maintenance","Sharjah","Sharjah","Old BMW Rd, Emarat Petrol Pump","+97165339013","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Jaziri Electromechanical Works LLC","Air Conditioning Engineers Installation And Maintenance","Dubai","Dubai","Next to Nakheel Centre, Al Nakheel Rd, Deira","+97142231179","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Khamri Technical Works LLC","Air Conditioning Engineers Installation And Maintenance Air Conditioning Contractors","Dubai","Dubai","Warehouse 3, Khawaneej, Tatty","+97142858494","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Majid Central Air Conditioning","Air Conditioning Engineers Installation And Maintenance","Abu Dhabi","Abu Dhabi","Block 77&78, Opp Dolphin, M 16, Mussafah Indl Area","+97125543322","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Mansoori Electrical And Pipe Fitting Contracting LLC","Air Conditioning Engineers Installation And Maintenance","Dubai","Dubai","112, Old Labour Office Building, Al Mamzar, Deira","+97142208522","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Marsad AC Units Fix Contracting LLC","Air Conditioning Engineers Installation And Maintenance AC Installation","Sharjah","Sharjah","Corniche Street","+97165285776","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Nadeem A/C & Refrigerators Maintenance","Air Conditioning Engineers Installation And Maintenance","Dubai","Dubai","Bhnd Eagle Rest, Hor Al Anz","+97142627571","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Naeem Central A/C and Repairing Establishment","Air Conditioning Engineers Installation And Maintenance","Abu Dhabi","Abu Dhabi","Al Kunaiby Bldg, Darat Ul Miah, Khalidiya","+97126210212","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Nasser Air Conditioning Refrigeration And Ducting Establishment","Air Conditioning Engineers Installation And Maintenance","Umm Al Quwain","Umm Al Quwain","","+97167666726","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Qaswaa Auto Repair Workshop","Air Conditioning Engineers Installation And Maintenance","Sharjah","Sharjah","Industrial Area 4 Behind Baby Shop","+971555777894","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Raqiya Air Refrigeration Repairs","Air Conditioning Engineers Installation And Maintenance","Abu Dhabi","Abu Dhabi","Plot 51, M - 13, Musaffah","+971507727338","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Sadeel Electromechanical Works LLC","Air Conditioning Engineers Installation And Maintenance","Dubai","Dubai","Warehouse 1, Opp Galadari Driving institute, Al Quoz Industrial Area 3","+97143479411","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Safa Marine Electromech Cont LLC","Air Conditioning Engineers Installation And Maintenance","Sharjah","Sharjah","104, King Faisal Bldg 1, King Faisal St","+97165457778","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Sahil Air Conditioning System Contracting","Air Conditioning Engineers Installation And Maintenance","Ajman","Ajman","New Indl Area","+97167481654","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Samsaam Air Conditioning Systems Installation","Air Conditioning Engineers Installation And Maintenance","Dubai","Dubai","Al Qusais Indl Area 1","+97142675174","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Shaer Electromechanical Works LLC","Air Conditioning Engineers Installation And Maintenance","Dubai","Dubai","Near Shaklan Rest, Al Quoz 2","+97143808250","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Shaheq Air Conditioning","Air Conditioning Engineers Installation And Maintenance Air Conditioning Contractors","Sharjah","Sharjah","Behind Caterpillar, Industrial Area","+97165397383","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Al Shirawi US Chillers LLC","Air Conditioning Engineers Installation And Maintenance AC Installation","Dubai","Dubai","Near Al Abbar Glass Factory, Ras Al Khor (Al Aweer) Industrial Area","+97143337644","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Aldebaran Technical Services LLC","Air Conditioning Engineers Installation And Maintenance Air Conditioning Contractors","Dubai","Dubai","Shop #5, Block R6, Sheikh Hamdan Colony, Karama","+971553494942","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Allied Pest Control","Air Conditioning Engineers Installation And Maintenance Building Maintenance","Fujairah","Fujairah","284-M, Emirates Trade Centre, Sh Zayed Rd","+97192237371","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
"Anees Virdee and Sons","Air Conditioning Engineers Installation And Maintenance","Fujairah","Fujairah","Bhnd Al Ahli Bldg, Near Emirates Trade Centre","+97192222161","","","manual_import_thunderbit","Thunderbit CSV","2026-03-07T06:58:13.659Z"
